active-wiretap,88.6298568248749,76.0546431541443,42.7641007900238,32.8645038604736,1314,13225500
arp-mitm,82.8769280910492,71.8992466926575,42.3352780342102,29.1324899196625,1390,14096548
botnet,137.423906564713,125.620586872101,101.120149612427,24.0218601226807,796,3402796
ddos-hoic,142.317043781281,129.799028158188,101.622814178467,27.7149548530579,770,4005239
ddos-loic,1604.92177605629,1582.31035375595,1540.60428380966,41.169308423996,63,430473
dos-goldeneye,255.365761995316,243.433788537979,215.406255960464,27.5638084411621,410,2842772
dos-hulk,2593.55057072639,2559.97774362564,2533.25787305832,26.1642329692841,39,284542
dos-slowhttptest,262.318182229996,249.641602516174,224.80366063118,24.367292881012,400,1865907
dos-slowloris,171.852951526642,159.724919557571,135.618790864944,23.6378846168518,626,3151692
dos-syn,86.7315940856934,74.7285542488098,43.4679977893829,30.8116269111633,1338,11742563
fuzzing,83.3753159046173,72.1232430934906,42.8407950401306,28.8236403465271,1386,13558456
os-scan,85.4192111492157,73.83873462677,42.4139924049377,31.0004348754883,1354,11466112
port-scan,437.365495920181,402.704456567764,366.564968347549,35.6382832527161,248,126146
ssdp-flood,80.8934469223022,70.5282604694366,43.276397228241,26.7799010276794,1417,12660172
ssh-bruteforce,136.086193323135,123.692804098129,97.371798992157,25.8248143196106,808,5779043
ssl-renegotiation,81.7494747638702,71.0344820022583,43.0577132701874,27.5404291152954,1407,13011611
video-injection,119.092240810394,100.748911619186,44.7112934589386,55.5951073169708,992,10588603
