# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,5.46875,5872625547,1952243,1906
2048,10.7421875,10691578834,3834969,1872
4096,21.875,20826544068,7813926,1907
8192,45.3125,43726620792,16186534,1975
16384,100.0,84619772512,31720140,1936
32768,100.0,84988217117,31849267,971
65536,100.0,84996944534,31852684,486
