# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.6875,4506328799,1291891,1261
2048,9.765625,9394156147,2691199,1314
4096,19.53125,18790968008,5386713,1315
8192,41.6015625,40037203585,11473958,1400
16384,79.1015625,76407135617,21896447,1336
32768,100.0,93301234405,26741107,816
65536,100.0,93319831721,26746086,408
