# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,5.078125,4833510601,1369702,1337
2048,10.546875,10068145413,2843583,1388
4096,18.75,18045808007,5060147,1235
8192,42.96875,41441445251,11610739,1417
16384,82.03125,79281491724,22212915,1355
32768,100.0,93619590603,26222873,800
65536,100.0,93610348073,26220134,400
