# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,3.3203125,3077315868,1336972,1305
2048,6.8359375,6396960444,2754803,1345
4096,13.4765625,12636352054,5427289,1325
8192,28.125,26415169968,11339929,1384
16384,54.296875,51136503806,21903411,1336
32768,100.0,80962789747,34676351,1058
65536,100.0,80910962931,34656985,528
