# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,3.125,2837172097,2194777,2143
2048,6.640625,6030262780,4663244,2276
4096,12.5,11286243720,8778803,2143
8192,26.5625,23938345095,18680191,2280
16384,52.734375,47811166686,37349836,2279
32768,100.0,84901711837,66389465,2026
65536,100.0,84805983952,66315059,1011
