# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.6875,4509568236,1425907,1392
2048,9.375,9006871651,2851763,1392
4096,19.3359375,18575013803,5887923,1437
8192,38.4765625,36884535478,11704332,1428
16384,76.5625,73434556184,23298828,1422
32768,100.0,90511738451,28714137,876
65536,100.0,72481313268,22995468,350
