# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.8828125,3344670540,2212543,2160
2048,8.203125,7488140610,4956646,2420
4096,16.40625,14980654596,9911846,2419
8192,32.8125,29944747196,19812799,2418
16384,75.78125,52428209378,34687283,2117
32768,100.0,90268982620,59722227,1822
65536,100.0,90252790929,59711743,911
