# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,2.9296875,2679440445,1657907,1619
2048,5.859375,5358825904,3315775,1619
4096,11.71875,10728935911,6638463,1620
8192,23.2421875,21310541535,13185779,1609
16384,46.875,43204507773,26732505,1631
32768,92.1875,85567968797,52944537,1615
65536,100.0,91222171708,56443046,861
