# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.296875,3906869645,2647206,2585
2048,8.3984375,7640494309,5176780,2527
4096,17.578125,15989520406,10833753,2644
8192,34.9609375,31862558728,21586636,2635
16384,100.0,45727174572,30979494,1890
32768,100.0,68581884552,46463193,1417
65536,100.0,89892847338,60900838,929
