# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,3.90625,3574465197,2284121,2230
2048,7.421875,6787218148,4337100,2117
4096,15.4296875,14120283076,9023052,2202
8192,31.25,28681544346,18327897,2237
16384,60.15625,55564193070,35506265,2167
32768,100.0,90752466757,57992063,1769
65536,100.0,90713620900,57967244,884
