# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,5.46875,5330710246,1514073,1478
2048,10.9375,10604797655,3029721,1479
4096,21.875,21143752279,6059238,1479
8192,44.53125,42977797528,12349260,1507
16384,87.5,82836362627,23803955,1452
32768,100.0,90704963612,26069055,795
65536,100.0,71403610597,20521945,313
