# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,3.125,2853144048,1861145,1817
2048,7.421875,6779904099,4422604,2159
4096,14.453125,13213807255,8619443,2104
8192,29.296875,26751341603,17450099,2130
16384,57.6171875,53167246421,34681484,2116
32768,100.0,90473669428,59016806,1801
65536,100.0,90456192807,59005401,900
