# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,3.90625,3720813936,1398617,1365
2048,7.6171875,7245351396,2726335,1331
4096,15.234375,14502425666,5458073,1332
8192,31.640625,30118934552,11340083,1384
16384,63.671875,60945300873,22945151,1400
32768,100.0,93738973032,35295539,1077
65536,100.0,93759686039,35303321,538
