# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.6875,3144933379,2524185,2465
2048,9.375,6289754592,5048294,2464
4096,14.0625,12612093000,10119615,2470
8192,28.90625,25920306462,20815039,2540
16384,56.25,50373765976,40459225,2469
32768,100.0,82879375683,66556492,2031
65536,100.0,82908713487,66577254,1015
