# sampling rate,tg rate (%),rx rate (bps),rx rate (pps),tx rate (pps)
1024,4.8828125,4706219076,1297113,1266
2048,10.15625,9807541776,2698675,1317
4096,20.8984375,20165554716,5551462,1355
8192,50.0,36228167422,9981068,1218
16384,82.6171875,79626939240,21938764,1339
32768,100.0,86506657785,23839526,727
65536,100.0,86502510434,23838476,363
